|HY_ID|num_fotos
0|6028499|5
1|6028500|3
2|6028502|10
3|6028512|2
4|6028513|2
5|6028514|9
6|6028515|7
7|6028520|7
8|6028522|5
9|6028523|5
10|6028526|1
11|6028527|1
12|6028529|1
13|6028530|1
14|6028531|2
15|6028533|8
16|6028534|10
17|6028536|2
18|6028539|5
19|6028541|10
20|6028544|10
21|6028545|9
22|6028547|10
23|6028548|7
24|6028567|2
25|6028571|10
26|6028575|5
27|6028582|6
28|6028585|8
29|6028586|7
30|6028590|10
31|6028594|10
32|6028600|10
33|6028601|10
34|6028625|10
35|6028626|10
36|6028627|10
37|6028628|10
38|6028629|10
39|6028630|10
40|6028631|10
41|6028637|7
42|6028639|10
43|6028640|10
44|6028643|2
45|6028645|5
46|6028648|9
47|6028649|6
48|6028650|7
49|6028651|8
50|6028652|9
51|6028653|9
52|6028655|9
53|6028656|9
54|6028657|8
55|6028664|5
56|6028682|10
57|6028683|7
58|6028708|4
59|6028710|1
60|6028712|1
61|6028713|1
62|6028715|1
63|6028717|1
64|6028723|1
65|6028726|1
66|6028727|1
67|6028732|1
68|6028734|1
69|6028735|1
70|6028910|4
71|6028916|4
72|6028917|4
73|6028919|10
74|6028920|10
75|6028921|10
76|6028922|10
77|6028923|10
78|6028924|10
79|6028926|4
80|6028927|4
81|6028928|7
82|6028929|7
83|6028930|7
84|6028931|7
85|6028932|6
86|6028940|2
87|6028941|2
88|6028942|7
89|6028943|7
90|6028944|8
91|6028945|9
92|6028946|8
93|6028947|4
94|6028951|10
95|6028952|10
96|6028953|10
97|6028954|10
98|6028955|10
99|6028956|10
100|6028957|10
101|6028974|2
102|6028975|2
103|6028976|2
104|6028977|2
105|6028978|2
106|6028979|2
107|6028980|2
108|6028983|7
109|6028984|7
110|6028985|8
111|6028986|7
112|6028987|7
113|6028988|7
114|6028989|7
115|6028994|7
116|6028995|7
117|6028997|10
118|6028998|6
119|6028999|2
120|6029000|10
121|6029002|6
122|6029020|10
123|6029031|2
124|6029032|9
125|6029034|4
126|6029035|5
127|6029036|5
128|6029037|4
129|6029045|9
130|6029048|10
131|6029049|10
132|6029051|4
133|6029052|7
134|6029053|6
135|6029059|4
136|6029060|9
137|6029062|10
138|6029063|10
139|6029064|9
140|6029065|10
141|6029066|7
142|6029067|10
143|6029068|5
144|6029069|7
145|6029071|6
146|6029072|1
147|6029073|9
148|6029075|9
149|6029076|10
150|6029090|10
151|6029111|7
152|6029124|4
153|6029125|9
154|6029130|7
155|6029132|8
156|6029144|10
157|6029145|10
158|6029154|10
159|6029155|7
160|6029156|7
161|6029157|10
162|6029158|9
163|6029159|3
164|6029160|4
165|6029164|8
166|6029166|6
167|6029169|1
168|6029170|4
169|6029171|4
170|6029182|5
171|6029183|3
172|6029184|10
173|6029185|10
174|6029186|10
175|6029188|10
176|6029190|8
177|6029191|10
178|6029193|10
179|6029195|10
180|6029198|2
181|6029199|6
182|6029201|5
183|6029202|4
184|6029207|7
185|6029208|8
186|6029210|7
187|6029212|9
188|6029214|10
189|6029216|8
190|6029217|9
191|6029218|10
192|6029220|7
193|6029221|3
194|6029222|10
195|6029223|10
196|6029224|10
197|6029228|10
198|6029229|10
199|6029230|8
200|6029231|7
201|6029233|4
202|6029240|7
203|6029241|9
204|6029243|1
205|6029244|1
206|6029245|1
207|6029246|1
208|6029247|1
209|6029249|1
210|6029254|2
211|6029261|2
212|6029273|2
213|6029275|1
214|6029276|3
215|6029283|1
216|6029292|1
217|6029293|1
218|6029308|10
219|6029313|2
220|6029316|4
221|6029317|4
222|6029318|4
223|6029320|4
224|6029321|9
225|6029322|1
226|6029323|1
227|6029324|3
228|6029381|3
229|6029382|3
230|6029383|2
231|6029385|4
232|6029387|4
233|6029400|2
234|6029421|6
235|6029424|7
236|6029427|7
237|6029429|7
238|6029430|7
239|6029433|7
240|6029436|10
241|6029437|10
242|6029438|10
243|6029466|7
244|6029476|1
245|6029492|3
246|6029493|3
247|6029494|3
248|6029495|3
249|6029496|3
250|6029512|10
251|6029514|10
252|6029525|4
253|6029528|4
254|6029530|6
255|6029531|5
256|6029534|10
257|6029537|7
258|6029562|10
259|6029572|3
260|6029577|1
261|6029593|3
262|6029597|4
263|6029600|1
264|6029626|10
265|6029627|10
266|6029633|9
267|6029634|10
268|6029648|2
269|6029649|6
270|6029650|3
271|6029661|6
272|6029669|5
273|6029670|8
274|6029674|8
275|6029678|6
276|6029681|3
277|6029683|3
278|6029684|10
279|6029691|5
280|6029692|6
281|6029694|7
282|6029699|8
283|6029701|5
284|6029702|1
285|6029703|1
286|6029704|1
287|6029705|1
288|6029706|1
289|6029707|1
290|6029710|1
291|6029740|1
292|6029742|1
293|6029772|8
294|6029794|3
295|6029812|10
296|6029814|5
297|6029816|10
298|6029817|10
299|6029818|10
300|6029820|10
301|6029821|10
302|6029822|10
303|6029823|10
304|6029833|7
305|6029835|2
306|6029836|10
307|6029837|10
308|6029838|10
309|6029839|10
310|6029840|10
311|6029841|10
312|6029842|10
313|6029844|10
314|6029848|10
315|6029859|10
316|6029868|5
317|6029872|9
318|6029875|9
319|6029876|8
320|6029877|10
321|6029879|2
322|6029880|3
323|6029881|1
324|6029882|1
325|6029884|2
326|6029885|10
327|6029887|4
328|6029899|3
329|6029900|3
330|6029901|2
331|6029902|2
332|6029903|2
333|6029904|2
334|6029905|2
335|6029907|2
336|6029908|2
337|6029909|2
338|6029910|2
339|6029911|2
340|6029914|2
341|6029916|1
342|6029918|1
